Activity_Name,Activity_Instance_ID,Participant_ID,Date,Attended,Minutes_Attended
Surfing 101,3384580,46843252,11/26/2018,Y,180.0
Surfing 101,3384580,46843252,11/28/2018,Y,180.0
Surfing 101,3384580,46843252,12/3/2018,Y,180.0
Surfing 101,3384580,46843252,12/10/2018,Y,180.0
Surfing 101,3384580,46843252,12/12/2018,Y,180.0
Surfing 101,3384580,46843252,1/7/2019,Y,180.0
Surfing 101,3384580,46843252,1/9/2019,Y,180.0
Surfing 101,3384580,46843252,1/14/2019,Y,180.0
Surfing 101,3384580,46843252,1/23/2019,Y,180.0
Surfing 101,3384580,46843252,1/28/2019,Y,180.0
Surfing 101,3384580,46843252,1/30/2019,Y,180.0
Surfing 101,3384580,46843252,2/4/2019,Y,180.0
Surfing 101,3384580,46843252,2/11/2019,Y,180.0
Surfing 101,3384580,46843252,2/13/2019,Y,180.0
Surfing 101,3384580,46843252,2/15/2019,Y,300.0
Surfing 101,3384580,46843252,2/20/2019,Y,180.0
Surfing 101,3384580,46843252,2/22/2019,Y,300.0
Surfing 101,3384580,46843252,2/25/2019,Y,180.0
Surfing 101,3384580,46843252,2/27/2019,Y,180.0
Surfing 101,3384580,46843252,3/1/2019,Y,300.0
Surfing 101,3384580,46843252,3/4/2019,Y,180.0
Surfing 101,3384580,46843252,3/6/2019,Y,180.0
Surfing 101,3384580,46843252,3/11/2019,Y,180.0
Surfing 101,3384580,46843252,3/13/2019,Y,180.0
Surfing 101,3384580,46843252,3/18/2019,Y,180.0
Surfing 101,3384580,46843252,3/20/2019,Y,180.0
Surfing 101,3384580,46843252,3/22/2019,Y,300.0
Surfing 101,3384580,46843252,4/1/2019,Y,180.0
Surfing 101,3384580,46843252,4/3/2019,Y,180.0
Surfing 101,3384580,46843252,4/5/2019,Y,300.0
Surfing 101,3384580,46843252,4/8/2019,Y,180.0
Surfing 101,3384580,46843252,4/10/2019,Y,180.0
Surfing 101,3384580,46843252,4/12/2019,Y,300.0
Surfing 101,3384580,46843252,4/15/2019,Y,180.0
Surfing 101,3384580,46843252,4/17/2019,Y,180.0
Surfing 101,3384580,46843252,4/22/2019,Y,180.0
Surfing 101,3384580,46843252,4/26/2019,Y,300.0
Surfing 101,3384580,46843252,4/29/2019,Y,180.0
Surfing 101,3384580,46843252,5/3/2019,Y,300.0
Surfing 101,3384580,46843252,5/6/2019,Y,180.0
Surfing 101,3384580,46843252,5/8/2019,Y,180.0
Surfing 101,3384580,46843252,5/10/2019,Y,300.0
Surfing 101,3384580,46843252,5/13/2019,Y,180.0
Surfing 101,3384580,46843252,5/15/2019,Y,180.0
Surfing 101,3384580,46843252,5/17/2019,Y,300.0
Surfing 101,3384580,46843252,5/20/2019,Y,180.0
Surfing 101,3384580,46843252,5/22/2019,Y,180.0
Surfing 101,3384580,46843252,5/29/2019,Y,180.0
Surfing 101,3384580,46846095,9/5/2018,Y,180.0
Surfing 101,3384580,46846095,9/10/2018,Y,180.0
Surfing 101,3384580,46846095,9/12/2018,Y,180.0
Surfing 101,3384580,46846095,9/17/2018,Y,180.0
Surfing 101,3384580,46846095,9/19/2018,Y,180.0
Surfing 101,3384580,46846095,9/24/2018,Y,180.0
Surfing 101,3384580,46846095,9/26/2018,Y,180.0
Surfing 101,3384580,46846095,10/1/2018,Y,180.0
Surfing 101,3384580,46846095,10/3/2018,Y,180.0
Surfing 101,3384580,46846095,10/8/2018,Y,180.0
Surfing 101,3384580,46846095,10/10/2018,Y,180.0
Surfing 101,3384580,46846095,10/15/2018,Y,180.0
Surfing 101,3384580,46846095,10/17/2018,Y,180.0
Surfing 101,3384580,46846095,10/29/2018,Y,180.0
Surfing 101,3384580,46846095,10/31/2018,Y,180.0
Surfing 101,3384580,46846095,11/5/2018,Y,180.0
Surfing 101,3384580,46846095,11/7/2018,Y,180.0
Surfing 101,3384580,46846095,11/12/2018,Y,180.0
Surfing 101,3384580,46846095,11/14/2018,Y,180.0
Surfing 101,3384580,46846095,11/26/2018,Y,180.0
Surfing 101,3384580,46846095,12/3/2018,Y,180.0
Surfing 101,3384580,46846095,12/10/2018,Y,180.0
Surfing 101,3384580,46846095,1/7/2019,Y,180.0
Surfing 101,3384580,46846095,1/14/2019,Y,180.0
Surfing 101,3384580,46846095,1/28/2019,Y,180.0
Surfing 101,3384580,46846095,1/30/2019,Y,180.0
Surfing 101,3384580,46846095,2/11/2019,Y,180.0
Surfing 101,3384580,46846095,2/25/2019,Y,180.0
Surfing 101,3384580,46846095,3/13/2019,Y,180.0
Surfing 101,3384580,46846095,4/8/2019,Y,180.0
Surfing 101,3384580,46846095,4/10/2019,Y,180.0
Surfing 101,3384580,46846095,4/15/2019,Y,180.0
Surfing 101,3384580,46846095,4/29/2019,Y,180.0
Surfing 101,3384580,46846095,5/6/2019,Y,180.0
Surfing 101,3384580,46846095,5/13/2019,Y,180.0
Surfing 101,3384580,46846095,5/20/2019,Y,180.0
Surfing 101,3384580,46847012,2/8/2019,Y,300.0
Surfing 101,3384580,46847012,2/11/2019,Y,180.0
Surfing 101,3384580,46847012,2/13/2019,Y,180.0
Surfing 101,3384580,46847012,2/15/2019,Y,300.0
Surfing 101,3384580,46847012,2/20/2019,Y,180.0
Surfing 101,3384580,46847012,2/22/2019,Y,300.0
Surfing 101,3384580,46847012,2/25/2019,Y,180.0
Surfing 101,3384580,46847012,2/27/2019,Y,180.0
Surfing 101,3384580,46847012,3/1/2019,Y,300.0
Surfing 101,3384580,46847012,3/4/2019,Y,180.0
Surfing 101,3384580,46847012,3/6/2019,Y,180.0
Surfing 101,3384580,46847012,3/8/2019,Y,300.0
Surfing 101,3384580,46847012,3/11/2019,Y,180.0
Surfing 101,3384580,46847012,3/13/2019,Y,180.0
Surfing 101,3384580,46847012,3/15/2019,Y,300.0
Surfing 101,3384580,46847012,3/20/2019,Y,180.0
Surfing 101,3384580,46847012,3/22/2019,Y,300.0
Surfing 101,3384580,46847012,4/1/2019,Y,180.0
Surfing 101,3384580,46847012,4/3/2019,Y,180.0
Surfing 101,3384580,46847012,4/5/2019,Y,300.0
Surfing 101,3384580,46847012,4/8/2019,Y,180.0
Surfing 101,3384580,46847012,4/10/2019,Y,180.0
Surfing 101,3384580,46847012,4/12/2019,Y,300.0
Surfing 101,3384580,46847012,4/15/2019,Y,180.0
Surfing 101,3384580,46847012,4/17/2019,Y,180.0
Surfing 101,3384580,46847012,4/19/2019,Y,300.0
Surfing 101,3384580,46847012,4/22/2019,Y,180.0
Surfing 101,3384580,46847012,4/26/2019,Y,300.0
Surfing 101,3384580,46847012,4/29/2019,Y,180.0
Surfing 101,3384580,46847012,5/3/2019,Y,300.0
Surfing 101,3384580,46847012,5/6/2019,Y,180.0
Surfing 101,3384580,46847012,5/8/2019,Y,180.0
Surfing 101,3384580,46847012,5/10/2019,Y,300.0
Surfing 101,3384580,46847012,5/13/2019,Y,180.0
Surfing 101,3384580,46847012,5/15/2019,Y,180.0
Surfing 101,3384580,46847012,5/17/2019,Y,300.0
Surfing 101,3384580,46847012,5/20/2019,Y,180.0
Surfing 101,3384580,46847012,5/22/2019,Y,180.0
Surfing 101,3384580,46847012,5/24/2019,Y,300.0
Surfing 101,3384580,46847012,5/29/2019,Y,180.0
Surfing 101,3384580,46848962,8/27/2018,Y,180.0
Surfing 101,3384580,46848962,8/29/2018,Y,180.0
Surfing 101,3384580,46848962,8/31/2018,Y,300.0
Surfing 101,3384580,46848962,9/3/2018,Y,180.0
Surfing 101,3384580,46848962,9/5/2018,Y,180.0
Surfing 101,3384580,46848962,9/7/2018,Y,300.0
Surfing 101,3384580,46848962,9/10/2018,Y,180.0
Surfing 101,3384580,46848962,9/12/2018,Y,180.0
Surfing 101,3384580,46848962,9/17/2018,Y,180.0
Surfing 101,3384580,46848962,9/19/2018,Y,180.0
Surfing 101,3384580,46848962,9/21/2018,Y,300.0
Surfing 101,3384580,46848962,9/24/2018,Y,180.0
Surfing 101,3384580,46848962,9/26/2018,Y,180.0
Surfing 101,3384580,46848962,10/1/2018,Y,180.0
Surfing 101,3384580,46848962,10/3/2018,Y,180.0
Surfing 101,3384580,46848962,10/8/2018,Y,180.0
Surfing 101,3384580,46848962,10/10/2018,Y,180.0
Surfing 101,3384580,46848962,10/15/2018,Y,180.0
Surfing 101,3384580,46848962,10/17/2018,Y,180.0
Surfing 101,3384580,46848962,10/22/2018,Y,180.0
Surfing 101,3384580,46848962,10/24/2018,Y,180.0
Surfing 101,3384580,46848962,10/26/2018,Y,300.0
Surfing 101,3384580,46848962,10/29/2018,Y,180.0
Surfing 101,3384580,46848962,11/5/2018,Y,180.0
Surfing 101,3384580,46848962,11/7/2018,Y,180.0
Surfing 101,3384580,46848962,11/14/2018,Y,180.0
Surfing 101,3384580,46848962,11/26/2018,Y,180.0
Surfing 101,3384580,46848962,12/3/2018,Y,180.0
Surfing 101,3384580,46848962,12/5/2018,Y,180.0
Surfing 101,3384580,46848962,12/7/2018,Y,300.0
Surfing 101,3384580,46848962,12/10/2018,Y,180.0
Surfing 101,3384580,46848962,1/7/2019,Y,180.0
Surfing 101,3384580,46848962,1/9/2019,Y,180.0
Surfing 101,3384580,46848962,1/14/2019,Y,180.0
Surfing 101,3384580,46848962,1/16/2019,Y,180.0
Surfing 101,3384580,46848962,1/18/2019,Y,300.0
Surfing 101,3384580,46848962,1/23/2019,Y,180.0
Surfing 101,3384580,46848962,1/28/2019,Y,180.0
Surfing 101,3384580,46848962,1/30/2019,Y,180.0
Surfing 101,3384580,46848962,2/4/2019,Y,180.0
Surfing 101,3384580,46848962,2/11/2019,Y,180.0
Surfing 101,3384580,46848962,2/13/2019,Y,180.0
Surfing 101,3384580,46848962,2/15/2019,Y,300.0
Surfing 101,3384580,46848962,2/20/2019,Y,180.0
Surfing 101,3384580,46848962,2/22/2019,Y,300.0
Surfing 101,3384580,46848962,2/25/2019,Y,180.0
Surfing 101,3384580,46848962,2/27/2019,Y,180.0
Surfing 101,3384580,46848962,3/1/2019,Y,300.0
Surfing 101,3384580,46848962,3/4/2019,Y,180.0
Surfing 101,3384580,46848962,3/6/2019,Y,180.0
Surfing 101,3384580,46848962,3/11/2019,Y,180.0
Surfing 101,3384580,46848962,3/13/2019,Y,180.0
Surfing 101,3384580,46848962,3/18/2019,Y,180.0
Surfing 101,3384580,46848962,3/20/2019,Y,180.0
Surfing 101,3384580,46848962,3/22/2019,Y,300.0
Surfing 101,3384580,46848962,4/3/2019,Y,180.0
Surfing 101,3384580,46848962,4/8/2019,Y,180.0
Surfing 101,3384580,46848962,4/10/2019,Y,180.0
Surfing 101,3384580,46848962,4/19/2019,Y,300.0
Surfing 101,3384580,46848962,4/22/2019,Y,180.0
Surfing 101,3384580,46848962,4/26/2019,Y,300.0
Surfing 101,3384580,46848962,4/29/2019,Y,180.0
Surfing 101,3384580,46848962,5/3/2019,Y,300.0
Surfing 101,3384580,46848962,5/6/2019,Y,180.0
Surfing 101,3384580,46848962,5/8/2019,Y,180.0
Surfing 101,3384580,46848962,5/10/2019,Y,300.0
Surfing 101,3384580,46848962,5/13/2019,Y,180.0
Surfing 101,3384580,46848962,5/15/2019,Y,180.0
Surfing 101,3384580,46848962,5/22/2019,Y,180.0
Surfing 101,3384580,46854847,8/20/2018,Y,180.0
Surfing 101,3384580,46854847,8/22/2018,Y,180.0
Surfing 101,3384580,46854847,8/24/2018,Y,300.0
Surfing 101,3384580,46854847,8/27/2018,Y,180.0
Surfing 101,3384580,46854847,8/29/2018,Y,180.0
Surfing 101,3384580,46854847,9/3/2018,Y,180.0
Surfing 101,3384580,46854847,9/5/2018,Y,180.0
Surfing 101,3384580,46854847,9/12/2018,Y,180.0
Surfing 101,3384580,46854847,9/17/2018,Y,180.0
Surfing 101,3384580,46854847,9/19/2018,Y,180.0
Surfing 101,3384580,46854847,9/24/2018,Y,180.0
Surfing 101,3384580,46854847,9/26/2018,Y,180.0
Surfing 101,3384580,46854847,10/1/2018,Y,180.0
Surfing 101,3384580,46854847,10/3/2018,Y,180.0
Surfing 101,3384580,46854847,10/8/2018,Y,180.0
Surfing 101,3384580,46854847,10/10/2018,Y,180.0
Surfing 101,3384580,46854847,10/15/2018,Y,180.0
Surfing 101,3384580,46854847,10/17/2018,Y,180.0
Surfing 101,3384580,46854847,10/22/2018,Y,180.0
Surfing 101,3384580,46854847,10/29/2018,Y,180.0
Surfing 101,3384580,46854847,11/14/2018,Y,180.0
Surfing 101,3384580,46854847,11/28/2018,Y,180.0
Surfing 101,3384580,46854847,12/3/2018,Y,180.0
Surfing 101,3384580,46854847,12/5/2018,Y,180.0
Surfing 101,3384580,46854847,12/10/2018,Y,180.0
Surfing 101,3384580,46854847,12/12/2018,Y,180.0
Surfing 101,3384580,46854847,1/7/2019,Y,180.0
Surfing 101,3384580,46854847,1/14/2019,Y,180.0
Surfing 101,3384580,46854847,1/28/2019,Y,180.0
Surfing 101,3384580,46854847,1/30/2019,Y,180.0
Surfing 101,3384580,46854847,2/4/2019,Y,180.0
Surfing 101,3384580,46854847,2/11/2019,Y,180.0
Surfing 101,3384580,46854847,2/13/2019,Y,180.0
Surfing 101,3384580,46854847,2/25/2019,Y,180.0
Surfing 101,3384580,46854847,3/4/2019,Y,180.0
Surfing 101,3384580,46854847,3/6/2019,Y,180.0
Surfing 101,3384580,46854847,3/11/2019,Y,180.0
Surfing 101,3384580,46854847,3/13/2019,Y,180.0
Surfing 101,3384580,46854847,3/18/2019,Y,180.0
Surfing 101,3384580,46854847,4/1/2019,Y,180.0
Surfing 101,3384580,46854847,4/3/2019,Y,180.0
Surfing 101,3384580,46854847,4/8/2019,Y,180.0
Surfing 101,3384580,46854847,4/10/2019,Y,180.0
Surfing 101,3384580,46854847,4/15/2019,Y,180.0
Surfing 101,3384580,46854847,4/17/2019,Y,180.0
Surfing 101,3384580,46854847,4/22/2019,Y,180.0
Surfing 101,3384580,46854847,4/29/2019,Y,180.0
Surfing 101,3384580,46854847,5/6/2019,Y,180.0
Surfing 101,3384580,46854847,5/8/2019,Y,180.0
Surfing 101,3384580,46854847,5/13/2019,Y,180.0
Surfing 101,3384580,46854847,5/15/2019,Y,180.0
Surfing 101,3384580,46854847,5/20/2019,Y,180.0
Surfing 101,3384580,46854847,5/22/2019,Y,180.0
Surfing 101,3384580,46855204,8/20/2018,Y,180.0
Surfing 101,3384580,46855204,8/22/2018,Y,180.0
Surfing 101,3384580,46855204,8/24/2018,Y,300.0
Surfing 101,3384580,46855204,8/27/2018,Y,180.0
Surfing 101,3384580,46855204,8/29/2018,Y,180.0
Surfing 101,3384580,46855204,8/31/2018,Y,300.0
Surfing 101,3384580,46855204,9/3/2018,Y,180.0
Surfing 101,3384580,46855204,9/5/2018,Y,180.0
Surfing 101,3384580,46855204,9/12/2018,Y,180.0
Surfing 101,3384580,46855204,9/14/2018,Y,300.0
Surfing 101,3384580,46855204,9/17/2018,Y,180.0
Surfing 101,3384580,46855204,9/19/2018,Y,180.0
Surfing 101,3384580,46855204,9/24/2018,Y,180.0
Surfing 101,3384580,46855204,9/26/2018,Y,180.0
Surfing 101,3384580,46855204,9/28/2018,Y,300.0
Surfing 101,3384580,46855204,10/1/2018,Y,180.0
Surfing 101,3384580,46855204,10/3/2018,Y,180.0
Surfing 101,3384580,46855204,10/8/2018,Y,180.0
Surfing 101,3384580,46855204,10/10/2018,Y,180.0
Surfing 101,3384580,46855204,10/15/2018,Y,180.0
Surfing 101,3384580,46855204,10/17/2018,Y,180.0
Surfing 101,3384580,46855204,10/22/2018,Y,180.0
Surfing 101,3384580,46855204,10/24/2018,Y,180.0
Surfing 101,3384580,46855204,10/26/2018,Y,300.0
Surfing 101,3384580,46855204,10/29/2018,Y,180.0
Surfing 101,3384580,46855204,10/31/2018,Y,180.0
Surfing 101,3384580,46855204,11/5/2018,Y,180.0
Surfing 101,3384580,46855204,11/7/2018,Y,180.0
Surfing 101,3384580,46855204,11/12/2018,Y,180.0
Surfing 101,3384580,46855204,11/14/2018,Y,180.0
Surfing 101,3384580,46855204,11/26/2018,Y,180.0
Surfing 101,3384580,46855204,11/28/2018,Y,180.0
Surfing 101,3384580,46855204,12/3/2018,Y,180.0
Surfing 101,3384580,46855204,12/10/2018,Y,180.0
Surfing 101,3384580,46855204,12/12/2018,Y,180.0
Surfing 101,3384580,46855204,1/7/2019,Y,180.0
Surfing 101,3384580,46855204,1/9/2019,Y,180.0
Surfing 101,3384580,46855204,1/14/2019,Y,180.0
Surfing 101,3384580,46855204,1/16/2019,Y,180.0
Surfing 101,3384580,46855204,1/23/2019,Y,180.0
Surfing 101,3384580,46855204,1/25/2019,Y,300.0
Surfing 101,3384580,46855204,1/28/2019,Y,180.0
Surfing 101,3384580,46855204,1/30/2019,Y,180.0
Surfing 101,3384580,46855204,2/1/2019,Y,300.0
Surfing 101,3384580,46855204,2/4/2019,Y,180.0
Surfing 101,3384580,46855204,2/11/2019,Y,180.0
Surfing 101,3384580,46855204,2/13/2019,Y,180.0
Surfing 101,3384580,46855204,2/20/2019,Y,180.0
Surfing 101,3384580,46855204,2/25/2019,Y,180.0
Surfing 101,3384580,46855204,2/27/2019,Y,180.0
Surfing 101,3384580,46855204,3/4/2019,Y,180.0
Surfing 101,3384580,46855204,3/6/2019,Y,180.0
Surfing 101,3384580,46855204,3/11/2019,Y,180.0
Surfing 101,3384580,46855204,3/13/2019,Y,180.0
Surfing 101,3384580,46855204,3/15/2019,Y,300.0
Surfing 101,3384580,46855204,3/18/2019,Y,180.0
Surfing 101,3384580,46855204,3/20/2019,Y,180.0
Surfing 101,3384580,46855204,3/22/2019,Y,300.0
Surfing 101,3384580,46855204,4/1/2019,Y,180.0
Surfing 101,3384580,46855204,4/3/2019,Y,180.0
Surfing 101,3384580,46855204,4/8/2019,Y,180.0
Surfing 101,3384580,46855204,4/10/2019,Y,180.0
Surfing 101,3384580,46855204,4/15/2019,Y,180.0
Surfing 101,3384580,46855204,4/17/2019,Y,180.0
Surfing 101,3384580,46855204,4/19/2019,Y,300.0
Surfing 101,3384580,46855204,4/22/2019,Y,180.0
Surfing 101,3384580,46855204,4/29/2019,Y,180.0
Surfing 101,3384580,46855204,5/6/2019,Y,180.0
Surfing 101,3384580,46855204,5/8/2019,Y,180.0
Surfing 101,3384580,46855204,5/10/2019,Y,300.0
Surfing 101,3384580,46855204,5/13/2019,Y,180.0
Surfing 101,3384580,46855204,5/15/2019,Y,180.0
Surfing 101,3384580,46855204,5/17/2019,Y,300.0
Surfing 101,3384580,46855204,5/20/2019,Y,180.0
Surfing 101,3384580,46855204,5/22/2019,Y,180.0
Surfing 101,3384580,46855204,5/24/2019,Y,300.0
Surfing 101,3384580,46857181,8/20/2018,Y,180.0
Surfing 101,3384580,46857181,8/22/2018,Y,180.0
Surfing 101,3384580,46857181,8/24/2018,Y,300.0
Surfing 101,3384580,46857181,8/27/2018,Y,180.0
Surfing 101,3384580,46857181,8/29/2018,Y,180.0
Surfing 101,3384580,46857181,8/31/2018,Y,300.0
Surfing 101,3384580,46857181,9/3/2018,Y,180.0
Surfing 101,3384580,46857181,9/5/2018,Y,180.0
Surfing 101,3384580,46857181,9/10/2018,Y,180.0
Surfing 101,3384580,46857181,9/12/2018,Y,180.0
Surfing 101,3384580,46857181,9/17/2018,Y,180.0
Surfing 101,3384580,46857181,9/19/2018,Y,180.0
Surfing 101,3384580,46857181,9/24/2018,Y,180.0
Surfing 101,3384580,46857181,9/26/2018,Y,180.0
Surfing 101,3384580,46857181,9/28/2018,Y,300.0
Surfing 101,3384580,46857181,10/1/2018,Y,180.0
Surfing 101,3384580,46857181,10/3/2018,Y,180.0
Surfing 101,3384580,46857181,10/5/2018,Y,300.0
Surfing 101,3384580,46857181,10/8/2018,Y,180.0
Surfing 101,3384580,46857181,10/10/2018,Y,180.0
Surfing 101,3384580,46857181,10/15/2018,Y,180.0
Surfing 101,3384580,46857181,10/17/2018,Y,180.0
Surfing 101,3384580,46857181,10/22/2018,Y,180.0
Surfing 101,3384580,46857181,10/24/2018,Y,180.0
Surfing 101,3384580,46857181,10/26/2018,Y,300.0
Surfing 101,3384580,46857181,10/29/2018,Y,180.0
Surfing 101,3384580,46857181,10/31/2018,Y,180.0
Surfing 101,3384580,46857181,11/5/2018,Y,180.0
Surfing 101,3384580,46857181,11/7/2018,Y,180.0
Surfing 101,3384580,46857181,11/12/2018,Y,180.0
Surfing 101,3384580,46857181,11/14/2018,Y,180.0
Surfing 101,3384580,46857181,11/26/2018,Y,180.0
Surfing 101,3384580,46857181,11/28/2018,Y,180.0
Surfing 101,3384580,46857181,12/3/2018,Y,180.0
Surfing 101,3384580,46857181,12/7/2018,Y,300.0
Surfing 101,3384580,46857181,12/10/2018,Y,180.0
Surfing 101,3384580,46857181,12/12/2018,Y,180.0
Surfing 101,3384580,46857181,1/7/2019,Y,180.0
Surfing 101,3384580,46857181,1/9/2019,Y,180.0
Surfing 101,3384580,46857181,1/14/2019,Y,180.0
Surfing 101,3384580,46857181,1/16/2019,Y,180.0
Surfing 101,3384580,46857181,1/23/2019,Y,180.0
Surfing 101,3384580,46857181,1/28/2019,Y,180.0
Surfing 101,3384580,46857181,1/30/2019,Y,180.0
Surfing 101,3384580,46857181,2/1/2019,Y,300.0
